交易日期,收盘价,S1上轨(20高),S1下轨(20低),S2上轨(55高),S2下轨(55低),ATR(20),做多开仓,做空开仓,多单加仓,空单加仓,平多仓,平空仓,持仓单位数,净持仓股数,累计收益率,策略净值,回撤幅度
2025-12-22,371.84,398.86,366.16,424.36,354.76,11.604327578091345,False,False,False,False,False,False,0,0,0.01380573700553156,1013805.7370055313,-0.1351519690062915
2025-12-23,378.1,398.86,366.16,424.36,354.76,11.469111199186777,False,False,False,False,False,False,0,0,0.01380573700553156,1013805.7370055313,-0.1351519690062915
2025-12-24,375.6,398.86,366.16,424.36,354.76,11.200655639227438,False,False,False,False,False,False,0,0,0.01380573700553156,1013805.7370055313,-0.1351519690062915
2025-12-25,373.01,398.86,366.16,424.36,354.76,10.964622857266066,False,False,False,False,False,False,0,0,0.01380573700553156,1013805.7370055313,-0.1351519690062915
2025-12-26,374.43,398.86,366.16,421.3,354.76,10.811391714402761,False,False,False,False,False,False,0,0,0.01380573700553156,1013805.7370055313,-0.1351519690062915
2025-12-29,369.31,398.86,368.1,421.3,354.76,10.592322128682623,False,False,False,False,False,False,0,0,0.01380573700553156,1013805.7370055313,-0.1351519690062915
2025-12-30,369.2,398.86,368.0,421.3,354.76,10.284706022248491,False,False,False,False,False,False,0,0,0.01380573700553156,1013805.7370055313,-0.1351519690062915
2025-12-31,367.26,398.86,366.56,421.3,354.76,10.012970721136067,False,False,False,False,False,False,0,0,0.01380573700553156,1013805.7370055313,-0.1351519690062915
2026-01-05,377.5,398.86,366.56,421.3,356.99,10.049322185079264,False,False,False,False,False,False,0,0,0.01380573700553156,1013805.7370055313,-0.1351519690062915
2026-01-06,373.99,398.86,366.56,421.3,356.99,10.1198560758253,False,False,False,False,False,False,0,0,0.01380573700553156,1013805.7370055313,-0.1351519690062915
2026-01-07,371.01,398.86,366.56,421.3,359.53,9.963363272034035,False,False,False,False,False,False,0,0,0.01380573700553156,1013805.7370055313,-0.1351519690062915
2026-01-08,369.21,398.86,366.56,421.3,363.1,9.781695108432332,False,False,False,False,False,False,0,0,0.01380573700553156,1013805.7370055313,-0.1351519690062915
2026-01-09,369.23,398.86,366.56,421.3,366.16,9.823610353010716,False,False,False,False,False,False,0,0,0.01380573700553156,1013805.7370055313,-0.1351519690062915
2026-01-12,361.68,398.86,366.56,421.3,366.16,10.21092983536018,False,True,False,False,False,False,2,-1984,0.013805737005531782,1013805.7370055314,-0.13515196900629142
2026-01-13,359.0,394.97,351.66,421.3,351.66,10.23888334359217,False,False,False,False,False,False,2,-1984,0.019122857005531735,1019122.8570055314,-0.1306160894046038
2026-01-14,353.98,394.97,351.66,421.3,351.66,10.202439176412563,False,False,False,True,False,False,4,-2906,0.02908253700553165,1029082.5370055314,-0.12211977761338302
2026-01-15,353.75,389.08,351.66,421.3,351.66,10.016317217591933,False,False,False,False,False,False,4,-2906,0.029750917005531674,1029750.9170055315,-0.12154960217852798
2026-01-16,352.32,384.5,351.66,421.3,351.66,10.026001356712337,False,False,False,False,False,False,4,-2906,0.03390649700553161,1033906.4970055316,-0.11800459838790799
2026-01-19,348.9,380.95,351.51,421.3,351.51,10.025201288876719,False,False,False,False,False,False,4,-2906,0.04384501700553134,1043845.0170055315,-0.1095263375739779
2026-01-20,349.6,380.5,345.33,421.3,345.33,9.974441224432885,False,False,False,False,False,False,4,-2906,0.04181081700553135,1041810.8170055315,-0.11126165411484076
2026-01-21,349.81,380.5,345.33,421.3,345.33,9.91021916321124,False,False,False,False,False,False,4,-2906,0.04120055700553116,1041200.5570055314,-0.11178224907709974
2026-01-22,345.8,380.5,345.33,421.3,345.33,10.126208205050679,False,False,False,True,False,False,6,-3044,0.05285361700553115,1052853.6170055314,-0.10184136432158508
2026-01-23,347.0,380.5,339.5,421.3,339.5,9.957397794798144,False,False,False,False,False,False,6,-3044,0.04920081700553114,1049200.8170055314,-0.10495746119527699
2026-01-26,342.05,380.5,339.5,421.3,339.5,10.026527905058238,False,False,False,False,False,False,6,-3044,0.06426861700553088,1064268.6170055312,-0.09210356159129818
2026-01-27,339.4,380.5,339.5,421.3,339.5,10.069201509805325,False,False,False,True,False,False,8,-3158,0.0723352170055307,1072335.217005531,-0.08522218099522876
2026-01-28,339.99,380.5,334.02,421.3,334.02,10.115241434315058,False,False,False,False,False,False,8,-3158,0.07047199700553075,1070471.997005531,-0.08681163949747363
2026-01-29,341.89,380.5,333.01,421.3,333.01,9.959479362599305,False,False,False,False,False,False,8,-3158,0.06447179700553063,1064471.797005531,-0.09193023467419464
2026-01-30,350.0,380.5,333.01,421.3,333.01,10.05500539446934,False,False,False,False,False,False,8,-3158,0.03886041700553089,1038860.417005531,-0.11377855408640833
2026-02-02,348.98,380.5,333.01,421.3,333.01,10.245255124745874,False,False,False,False,False,False,8,-3158,0.042081577005530724,1042081.5770055307,-0.11103067667574792
2026-02-03,347.91,380.5,333.01,414.6,333.01,10.197992368508581,False,False,False,False,False,False,8,-3158,0.045460637005530824,1045460.6370055308,-0.10814809939201561
2026-02-04,365.03,377.63,333.01,398.86,333.01,10.645092750083151,False,False,False,False,False,True,0,0,0.008738140269600736,1008738.1402696007,-0.13947498760735497
2026-02-05,362.94,377.63,333.01,398.86,333.01,10.649338112578993,False,False,False,False,False,False,0,0,0.008738140269600736,1008738.1402696007,-0.13947498760735497
2026-02-06,369.11,377.63,333.01,398.86,333.01,10.860371206950044,False,False,False,False,False,False,0,0,0.008738140269600736,1008738.1402696007,-0.13947498760735497
2026-02-09,368.82,372.88,333.01,398.86,333.01,10.81235264660254,False,False,False,False,False,False,0,0,0.008738140269600736,1008738.1402696007,-0.13947498760735497
2026-02-10,364.97,372.88,333.01,398.86,333.01,10.611735014272412,False,False,False,False,False,False,0,0,0.008738140269600736,1008738.1402696007,-0.13947498760735497
2026-02-11,368.0,372.88,333.01,398.86,333.01,10.405648263558792,False,False,False,False,False,False,0,0,0.008738140269600736,1008738.1402696007,-0.13947498760735497
2026-02-12,375.87,372.88,333.01,398.86,333.01,10.379365850380852,True,False,False,False,False,False,1,971,0.008738140269600736,1008738.1402696007,-0.13947498760735497
2026-02-13,365.34,377.88,333.01,398.86,333.01,10.45989755786181,False,False,False,False,False,False,1,971,-0.0014864897303993319,998513.5102696007,-0.14819732049655124
2026-02-24,361.95,377.88,333.01,398.86,333.01,10.51440267996872,False,False,False,False,False,False,1,971,-0.00477817973039929,995221.8202696007,-0.15100536498794487
2026-02-25,362.18,377.88,333.01,398.86,333.01,10.313682545970284,False,False,False,False,False,False,1,971,-0.004554849730399435,995445.1502696007,-0.1508148486950185
2026-02-26,346.0,377.88,333.01,398.86,333.01,10.73199841867177,False,False,False,False,True,False,0,0,-0.011418588211839054,988581.411788161,-0.15667010330076003
2026-02-27,342.01,377.88,333.01,398.86,333.01,10.541898497738181,False,False,False,False,False,False,0,0,-0.011418588211839054,988581.411788161,-0.15667010330076003
2026-03-02,340.22,377.88,333.01,398.86,333.01,10.42580357285127,False,False,False,False,False,False,0,0,-0.011418588211839054,988581.411788161,-0.15667010330076003
2026-03-03,344.07,377.88,333.01,398.86,333.01,10.611013394208706,False,False,False,False,False,False,0,0,-0.011418588211839054,988581.411788161,-0.15667010330076003
2026-03-04,338.9,377.88,333.01,398.86,333.01,10.573962724498271,False,False,False,False,False,False,0,0,-0.011418588211839054,988581.411788161,-0.15667010330076003
2026-03-05,350.25,377.88,333.01,398.86,333.01,10.792764588273359,False,False,False,False,False,False,0,0,-0.011418588211839054,988581.411788161,-0.15667010330076003
2026-03-06,354.77,377.88,334.2,398.86,333.01,10.871126358859689,False,False,False,False,False,False,0,0,-0.011418588211839054,988581.411788161,-0.15667010330076003
2026-03-09,357.5,377.88,334.2,398.86,333.01,11.067070040916706,False,False,False,False,False,False,0,0,-0.011418588211839054,988581.411788161,-0.15667010330076003
2026-03-10,376.3,377.88,334.2,398.86,333.01,11.627216538870869,False,False,False,False,False,False,0,0,-0.011418588211839054,988581.411788161,-0.15667010330076003
2026-03-11,396.8,379.77,334.2,394.97,333.01,12.408355711927324,True,False,False,False,False,False,2,1592,-0.011418588211838832,988581.4117881611,-0.15667010330075992
2026-03-12,395.5,403.55,334.2,403.55,333.01,12.197937926330956,False,False,False,False,False,False,2,1592,-0.013488188211838947,986511.811788161,-0.15843561854654206
2026-03-13,397.0,403.55,334.2,403.55,333.01,12.097541030014408,False,False,False,False,False,False,2,1592,-0.01110018821183889,988899.811788161,-0.15639848557063968
2026-03-16,408.4,403.99,334.2,403.99,333.01,12.301163978513689,False,False,True,False,False,False,4,2464,0.007048611788161185,1007048.6117881611,-0.14091627495378162
2026-03-17,405.0,413.17,334.2,413.17,333.01,12.458105779588003,False,False,False,False,False,False,4,2464,-0.0013289882118386886,998671.0117881611,-0.1480629605563443
2026-03-18,402.02,420.0,334.2,420.0,333.01,12.296700490608604,False,False,False,False,False,False,4,2464,-0.008671708211838602,991328.2917881612,-0.1543268202903551
2026-03-19,400.5,420.0,334.2,420.0,333.01,12.381865466078173,False,False,False,False,False,False,4,2464,-0.012416988211838564,987583.0117881611,-0.1575218091479714
2026-03-20,413.0,420.0,334.2,420.0,333.01,12.860272192774262,False,False,False,False,False,False,4,2464,0.018383011788161596,1018383.0117881611,-0.13124722972678501
2026-03-23,401.99,422.08,334.2,422.08,333.01,13.14775858313555,False,False,False,False,False,False,4,2464,-0.008745628211838441,991254.3717881611,-0.15438987928096598
2026-03-24,396.99,422.08,334.2,422.08,333.01,13.68537065397877,False,False,False,False,False,False,4,2464,-0.02106562821183844,978934.3717881611,-0.16489971104944054
2026-03-25,397.81,422.08,334.2,422.08,333.01,13.636102121279832,False,False,False,False,False,False,4,2464,-0.019045148211838336,980954.8517881612,-0.16317609863941063
2026-03-26,402.5,422.08,334.2,422.08,333.01,14.040297015215842,False,False,False,False,False,False,4,2464,-0.007488988211838521,992511.0117881611,-0.15331787644058156
2026-03-27,416.18,422.08,334.2,422.08,333.01,14.168282164455048,False,False,False,False,False,False,4,2464,0.02621853178816158,1026218.5317881611,-0.12456297672203517
2026-03-30,413.0,422.08,334.2,422.08,333.01,14.122368056232295,False,False,False,False,False,False,4,2464,0.018383011788161596,1018383.0117881611,-0.13124722972678501
2026-03-31,401.7,422.08,334.2,422.08,333.01,14.18474965342068,False,False,False,False,False,False,4,2464,-0.00946018821183836,990539.8117881612,-0.15499944952353745
2026-04-01,405.71,422.08,334.2,422.08,333.01,14.169012170749646,False,False,False,False,False,False,4,2464,0.0004204517881616354,1000420.4517881611,-0.14657056444522096
2026-04-02,401.17,422.08,342.66,422.08,333.01,14.200061562212165,False,False,False,False,False,False,4,2464,-0.010766108211838321,989233.8917881611,-0.15611349169099578
2026-04-03,386.46,422.08,344.66,422.08,333.01,14.292058484101556,False,False,False,False,True,False,2,1232,-0.047011548211838394,952988.4517881611,-0.18703341675384796
